Name,Year,Team,Split_position,final_position,final_position_spec,final_hier_num,TotalYearsInNFL,Past5yrsWinningPerc_best,Past5yrsWinningPerc_avg,HC,Coord,cumul_emb0,cumul_emb1,cumul_emb2,cumul_emb3,cumul_emb4,cumul_emb5,cumul_emb6,cumul_emb7,no_node_emb
Kevin Ramsey,2002,Arizona Cardinals (NFL),defensive backs,D,Sec,3,2,0.0,0.0,0,0,-0.886412501335144,-0.3871096074581146,1.2911298274993896,0.393848717212677,0.2707923352718353,1.1420549154281616,-0.7900525331497192,0.3970103859901428,0
Larry Marmie,2002,Arizona Cardinals (NFL),defensive coordinator,DC,DC,2,6,0.0,0.0,0,1,-0.907812237739563,-0.14038337767124176,0.31487569212913513,0.7612774968147278,0.2857567667961121,0.4435360431671143,-0.17012599110603333,0.4371082782745361,0
Joe Greene,2002,Arizona Cardinals (NFL),defensive line,D,DL,3,15,0.0,0.0,0,0,-0.24073365330696106,-0.5942667722702026,0.16095390915870667,0.5783820748329163,-0.7831214070320129,-1.9679375886917116,0.6155960559844971,0.23851120471954346,0
Dave McGinnis,2002,Arizona Cardinals (NFL),head coach,HC,HC,1,16,0.562,0.333,1,0,-0.4410441517829895,-0.09196465462446213,0.5437024831771851,0.6111670136451721,0.0013425908982753756,0.12024250626564024,-0.3678990304470062,0.7307199239730835,0
Jeff FitzGerald,2002,Arizona Cardinals (NFL),linebackers,D,LB,3,8,0.0,0.0,0,0,-0.7790701985359192,-0.035560742020606995,0.5191779136657715,0.7135155200958252,-0.08192409574985504,0.3082670867443085,-0.3158862888813019,0.3126890063285828,0
Rich Olson,2002,Arizona Cardinals (NFL),offensive coordinator,OC,OC,2,0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
George Warhop,2002,Arizona Cardinals (NFL),offensive line,O,OL,3,6,0.0,0.0,0,0,-0.97220116853714,0.3471980392932892,0.8843178749084473,0.4189034998416901,-0.03659733012318611,0.3546498715877533,0.030322939157485962,0.0579511933028698,0
Geep Chryst,2002,Arizona Cardinals (NFL),quarterbacks,O,QB,3,6,0.0,0.0,0,0,-0.7475740313529968,-0.01093626394867897,0.8351129293441772,0.8940969705581665,-0.0434919148683548,0.5259447693824768,-0.202012911438942,-0.2134864926338196,0
Johnny Roland,2002,Arizona Cardinals (NFL),running backs,O,RB,3,23,0.0,0.0,0,0,-0.5149595737457275,0.11126898974180223,0.7019478678703308,0.992648422718048,0.2982873618602753,0.041239503771066666,0.06514713913202286,0.3013058006763458,0
Pete Hoener,2002,Arizona Cardinals (NFL),tight ends,O,TE,3,1,0.0,0.0,0,0,-0.8561534881591797,0.18463538587093356,0.7956559062004089,0.9792168736457824,0.32945725321769714,0.6289553046226501,-0.04191568121314049,0.350466251373291,0
Jerry Sullivan,2002,Arizona Cardinals (NFL),wide receivers,O,WR,3,10,0.0,0.0,0,0,-0.4557138383388519,-0.20534050464630127,0.4406968355178833,0.7367867827415466,0.05930226668715478,-0.07704582810401918,-0.09164978563785553,0.03600764274597168,0
Ron Milus,2003,Arizona Cardinals (NFL),defensive backs,D,Sec,3,3,0.562,0.562,0,0,0.11697839200496675,-0.3053205907344818,0.12716689705848694,0.4123078584671021,1.1595321893692017,-1.6927409172058103,1.1895862817764282,1.363396406173706,0
Larry Marmie,2003,Arizona Cardinals (NFL),defensive coordinator,DC,DC,2,7,0.312,0.312,0,1,-1.312243103981018,0.08369289338588715,0.5482358336448669,0.3477716147899628,-0.2447593212127685,-0.08699765056371689,0.07788451015949249,0.18168151378631592,0
Joe Greene,2003,Arizona Cardinals (NFL),defensive line,D,DL,3,16,0.312,0.312,0,0,-1.0417861938476562,0.4803742468357086,0.5879342555999756,0.5141147375106812,-0.7292892336845398,-0.34697091579437256,0.46079406142234797,-0.012363741174340248,0
Dave McGinnis,2003,Arizona Cardinals (NFL),head coach,HC,HC,1,17,0.562,0.344,1,0,-0.9095810055732728,0.25514593720436096,0.5385503768920898,0.4637623429298401,-0.4024389982223511,-0.23449696600437164,-0.03942181169986725,0.6072869896888733,0
Jeff FitzGerald,2003,Arizona Cardinals (NFL),linebackers,D,LB,3,9,0.312,0.312,0,0,-1.0140053033828735,0.27602338790893555,0.4390721321105957,0.3492110371589661,-0.6158307194709778,-0.15369640290737152,0.2252272814512253,0.18320634961128235,0
Jerry Sullivan,2003,Arizona Cardinals (NFL),offensive coordinator,OC,OC,2,11,0.312,0.312,0,1,-0.7329914569854736,0.21570096909999847,0.5030118823051453,0.5767354369163513,-0.14002250134944916,0.03823820129036904,0.4055434167385101,-0.018295982852578163,0
Pete Hoener,2003,Arizona Cardinals (NFL),offensive line,O,OL,3,2,0.312,0.312,0,0,-1.1208754777908323,0.4461932182312012,1.0221586227416992,0.7521998286247253,-0.15580205619335175,0.04458190128207207,0.07927144318819046,0.38412079215049744,0
Geep Chryst,2003,Arizona Cardinals (NFL),quarterbacks,O,QB,3,6,0.312,0.312,0,0,-0.7958074808120728,0.4308294057846069,0.7229609489440918,0.8103812932968141,-0.4868433177471161,0.2013376206159592,0.33448857069015503,0.053387995809316635,0
Johnny Roland,2003,Arizona Cardinals (NFL),running backs,O,RB,3,24,0.312,0.312,0,0,-0.7930800318717957,0.4374043345451355,0.7702618837356567,0.5296434164047241,0.027392009273171425,-0.35468873381614685,0.3635980188846588,0.2326647192239761,0
Marty Galbraith,2003,Arizona Cardinals (NFL),tight ends,O,TE,3,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
Tyke Tolbert,2003,Arizona Cardinals (NFL),wide receivers,O,WR,3,0,0.0,0.0,0,0,0.21043050289154053,0.5170723795890808,-0.41400882601737976,1.2645338773727417,-4.6009016036987305,0.4292701780796051,1.8331290483474727,2.1571223735809326,0
